Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
,,,,,,,,,,,,,,,,,,,
5.35,65.22,4.62,1.78,0.34,21.5,2.27,93.68,2.16,1.16,50.28,23.75,6.36,14.06,26.78,29.07,1320,0.29,0.38,0.36
,,,,,,,,,,,,,,,,,,,
5.17,65.64,4.57,1.75,0.37,21.13,2.4,96.05,2.17,1.13,55.55,18.71,5.97,13.91,25.84,28.43,1340,0.31,0.38,0.35
,,,,,,,,,,,,,,,,,,,
5.2,66.01,4.43,1.76,0.44,20.84,2.66,97.83,2.16,1.17,58.2,15.88,6.28,13.48,26.05,28.29,1310,0.33,0.39,0.35
,,,,,,,,,,,,,,,,,,,
5.25,65.89,4.48,1.78,0.26,21.34,2.52,95.54,2.19,1.17,54.08,20.43,6.33,13.63,26.3,28.38,1320,0.33,0.37,0.36
,,,,,,,,,,,,,,,,,,,
5.22,65.81,4.47,1.78,0.31,21.17,2.38,96.15,2.18,1.17,55.83,18.62,6.27,13.6,26.14,28.32,1320,0.34,0.38,0.36
,,,,,,,,,,,,,,,,,,,
5.22,65.15,4.46,1.78,0.31,21.36,2.1,94.46,2.21,1.17,52.85,21.41,6.29,13.57,26.15,28.3,1310,0.34,0.37,0.36
,,,,,,,,,,,,,,,,,,,
5.1,65.47,4.38,1.77,0.33,21.62,2.04,94.2,2.28,1.16,53.34,21.79,6.1,13.33,25.54,27.78,1320,0.33,0.36,0.36
,,,,,,,,,,,,,,,,,,,
5.05,65.19,4.39,1.75,0.36,21.64,1.72,93.79,2.29,1.15,53.68,21.59,5.95,13.36,25.27,27.67,1350,0.32,0.37,0.35
,,,,,,,,,,,,,,,,,,,
5.26,64.51,4.43,1.77,0.42,21.7,1.84,92.22,2.24,1.19,48.49,25.67,6.44,13.48,26.37,28.45,1350,0.38,0.38,0.36
,,,,,,,,,,,,,,,,,,,
5.15,65.05,4.43,1.75,0.34,21.63,2.04,93.43,2.26,1.16,51.15,23.47,6.15,13.48,25.78,28.03,1320,0.3,0.37,0.35
,,,,,,,,,,,,,,,,,,,
5.26,64.98,4.45,1.75,0.3,21.89,1.96,92.17,2.25,1.18,48.45,26.25,6.41,13.54,26.36,28.36,1340,0.3,0.36,0.36
,,,,,,,,,,,,,,,,,,,
5.21,65.02,4.45,1.74,0.35,21.8,2.24,92.64,2.26,1.17,48.49,25.96,6.28,13.54,26.1,28.25,1320,0.33,0.36,0.36
5.2,65.67,4.42,1.74,0.34,21.07,2.52,96.42,2.19,1.18,55.66,18.46,6.3,13.45,26.05,28.14,1330,0.29,0.35,0.35
,,,,,,,,,,,,,,,,,,,
5.17,65.59,4.34,1.71,0.33,21.29,2.32,95.56,2.24,1.19,54.79,19.75,6.36,13.21,25.92,27.84,1340,0.31,0.34,0.35
,,,,,,,,,,,,,,,,,,,
5.16,65.28,4.28,1.71,0.45,21.68,1.96,93.69,2.3,1.21,52.18,22.84,6.43,13.02,25.89,27.8,1300,0.34,0.37,0.36
,,,,,,,,,,,,,,,,,,,
5.22,65.17,4.22,1.68,0.32,21.8,1.68,93.04,2.31,1.24,51.64,23.58,6.69,12.84,26.23,27.68,1310,0.35,0.35,0.35
,,,,,,,,,,,,,,,,,,,
5.22,65.34,4.23,1.65,0.29,21.55,1.82,94.21,2.28,1.23,53.65,21.35,6.68,12.87,26.22,27.65,1320,0.33,0.34,0.35
,,,,,,,,,,,,,,,,,,,
5.13,65.56,4.15,1.62,0.34,21.31,2.24,95.68,2.3,1.24,55.38,19.36,6.57,12.63,25.77,27.22,1330,0.32,0.33,0.34
,,,,,,,,,,,,,,,,,,,
5.19,65.33,4.2,1.66,0.39,21.8,2.04,93.33,2.32,1.24,51.06,24.02,6.65,12.78,26.07,27.6,1320,0.34,0.35,0.35
,,,,,,,,,,,,,,,,,,,
