Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
4.39,64.08,4.1,1.4,0.39,21.47,2.88,94.17,2.53,1.07,50.58,23.44,4.7,12.48,21.87,24.76,1270,0.37,0.31,0.33
,,,,,,,,,,,,,,,,,,,
4.47,64.25,4.04,1.42,0.28,21.9,2.32,92.7,2.57,1.11,49.83,25.24,5.01,12.29,22.31,24.77,1280,0.34,0.31,0.33
,,,,,,,,,,,,,,,,,,,
4.44,64.33,4.07,1.42,0.3,21.54,2.8,94.21,2.53,1.09,51.09,23.25,4.88,12.39,22.14,24.77,1250,0.34,0.31,0.33
,,,,,,,,,,,,,,,,,,,
4.5,64.4,4.06,1.43,0.21,21.54,2.52,94.22,2.52,1.11,52.13,22.47,5.06,12.35,22.47,24.85,1290,0.33,0.31,0.33
,,,,,,,,,,,,,,,,,,,
4.5,64.47,4,1.45,0.17,21.56,2.66,94.3,2.54,1.13,51.78,22.79,5.16,12.17,22.49,24.7,1280,0.33,0.31,0.33
,,,,,,,,,,,,,,,,,,,
4.49,64.58,4.07,1.44,0.29,21.5,2.52,94.65,2.51,1.1,53.22,21.53,5.01,12.39,22.41,24.93,1300,0.3,0.31,0.32
,,,,,,,,,,,,,,,,,,,
4.5,64.81,4.03,1.41,0.4,20.95,2.94,97.2,2.46,1.12,56.62,17.4,5.11,12.26,22.48,24.95,1300,0.33,0.33,0.32
,,,,,,,,,,,,,,,,,,,
4.51,65,3.99,1.4,0.31,20.95,3.22,97.5,2.46,1.13,56.24,17.68,5.2,12.14,22.54,24.79,1260,0.34,0.32,0.32
,,,,,,,,,,,,,,,,,,,
4.56,65.08,4.5,1.42,0.33,20.9,2.97,97.25,2.31,1.01,56.9,17.04,4.47,13.69,22.63,26.1,1290,0.34,0.32,0.32
,,,,,,,,,,,,,,,,,,,
4.72,63.73,4.22,1.59,0.39,21.75,1.96,91.95,2.43,1.12,48.38,25.9,5.37,12.84,23.58,26.19,1320,0.37,0.38,0.35
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4.68,64.57,4.17,1.58,0.29,21.13,2.74,95.67,2.39,1.12,53.68,20.13,5.35,12.69,23.38,25.85,1300,0.34,0.37,0.35
,,,,,,,,,,,,,,,,,,,
4.62,64.52,4.07,1.58,0.5,20.68,2.99,97.62,2.38,1.14,56.42,16.77,5.36,12.39,23.1,25.66,1340,0.35,0.37,0.34
,,,,,,,,,,,,,,,,,,,
4.73,65.03,4.08,1.62,0.31,20.27,3.28,99.92,2.3,1.16,59.68,13.13,5.63,12.42,23.68,25.86,1280,0.38,0.37,0.33
,,,,,,,,,,,,,,,,,,,
4.71,64.53,4.05,1.65,0.26,20.95,2.8,96.39,2.39,1.16,54.61,18.91,5.63,12.32,23.58,25.71,1320,0.37,0.37,0.34
,,,,,,,,,,,,,,,,,,,
4.75,64.15,4.14,1.66,0.3,21.58,1.82,93.22,2.43,1.15,51.86,22.79,5.58,12.6,23.76,26.08,1350,0.36,0.38,0.34
,,,,,,,,,,,,,,,,,,,
4.77,64.43,4.12,1.68,0.34,21.1,2.94,95.48,2.37,1.16,51.99,21.32,5.67,12.54,23.88,26.16,1300,0.36,0.39,0.34
,,,,,,,,,,,,,,,,,,,
4.75,64.52,4.06,1.65,0.33,21.02,1.96,96.02,2.39,1.17,57.17,17.18,5.72,12.35,23.79,25.92,1340,0.33,0.37,0.34
,,,,,,,,,,,,,,,,,,,
4.72,64.34,4.12,1.64,0.39,20.75,2.8,96.84,2.35,1.15,55.19,17.9,5.54,12.54,23.61,26.02,1280,0.34,0.37,0.34
,,,,,,,,,,,,,,,,,,,
4.8,64.5,4.14,1.66,0.29,21.13,1.74,95.39,2.36,1.16,56.7,17.85,5.72,12.6,24.03,26.22,1340,0.33,0.38,0.34
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4.71,64.39,4.1,1.64,0.57,21.18,1.88,95.22,2.4,1.15,55.96,18.55,5.54,12.48,23.56,26.12,1360,0.38,0.42,0.34
,,,,,,,,,,,,,,,,,,,
4.79,64.49,4.1,1.68,0.44,20.8,2.12,96.75,2.34,1.17,57.74,16.12,5.76,12.48,23.99,26.27,1340,0.37,0.39,0.34
,,,,,,,,,,,,,,,,,,,
4.73,64.39,4.11,1.66,0.39,21.04,1.96,95.73,2.38,1.15,56.55,17.7,5.58,12.51,23.67,26.05,1360,0.34,0.39,0.34
,,,,,,,,,,,,,,,,,,,
4.77,64.49,4.1,1.67,0.31,20.67,2.1,97.32,2.33,1.16,58.95,14.83,5.7,12.48,23.88,26.07,1320,0.35,0.37,0.34
,,,,,,,,,,,,,,,,,,,
4.63,64.03,4.06,1.62,0.28,20.14,2.52,99.14,2.32,1.14,60.39,12.23,5.4,12.35,23.15,25.49,1270,0.37,0.36,0.34
4.78,64.34,4.08,1.66,0.29,21.28,1.68,94.66,2.4,1.17,55.37,19.28,5.76,12.42,23.94,26.03,1350,0.32,0.39,0.34
4.87,64.4,4.12,1.63,0.43,21.32,1.86,94.4,2.37,1.18,53.92,20.49,5.93,12.54,24.41,26.49,1320,0.32,0.38,0.34
,,,,,,,,,,,,,,,,,,,
4.84,63.84,4.12,1.66,0.57,21.26,1.84,93.86,2.37,1.17,52.38,21.48,5.85,12.54,24.25,26.57,1290,0.37,0.42,0.34
,,,,,,,,,,,,,,,,,,,
4.77,63.93,4.06,1.66,0.41,21.12,2.04,94.71,2.39,1.17,53.55,20.2,5.77,12.35,23.9,26.07,1280,0.33,0.39,0.34
,,,,,,,,,,,,,,,,,,,
4.74,63.92,4.12,1.62,0.31,21.04,1.72,95.01,2.37,1.15,55.54,18.47,5.59,12.54,23.72,25.98,1340,0.3,0.35,0.35
,,,,,,,,,,,,,,,,,,,
4.81,63.84,4.09,1.67,0.42,21.26,2.24,93.94,2.39,1.18,50.99,22.53,5.83,12.45,24.1,26.28,1280,0.37,0.4,0.34
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4.87,64.02,4.14,1.68,0.43,21.38,1.68,93.6,2.37,1.18,52.62,21.64,5.9,12.6,24.4,26.58,1350,0.34,0.4,0.34
,,,,,,,,,,,,,,,,,,,
4.79,63.99,4.11,1.68,0.32,21.25,1.82,94.21,2.39,1.17,53.5,20.61,5.74,12.51,23.99,26.17,1320,0.33,0.38,0.35
,,,,,,,,,,,,,,,,,,,
4.75,63.95,4.08,1.66,0.36,21.36,1.96,93.82,2.42,1.16,52.24,21.87,5.68,12.42,23.78,26.01,1310,0.37,0.39,0.34
,,,,,,,,,,,,,,,,,,,
4.71,64.03,4.03,1.66,0.42,21.5,1.88,93.51,2.46,1.17,52.16,22.33,5.66,12.26,23.59,25.84,1340,0.34,0.39,0.34
,,,,,,,,,,,,,,,,,,,
4.7,64.19,4.01,1.63,0.33,21.32,2.02,94.48,2.45,1.17,53.71,20.65,5.67,12.2,23.54,25.65,1310,0.36,0.39,0.34
,,,,,,,,,,,,,,,,,,,
4.61,64.26,3.92,1.63,0.36,21.52,2.12,94.04,2.52,1.18,52.8,21.91,5.58,11.93,23.1,25.21,1300,0.38,0.38,0.33
,,,,,,,,,,,,,,,,,,,
4.74,64.2,4.07,1.65,0.4,21.07,2.24,95.35,2.39,1.16,54.4,19.41,5.67,12.39,23.73,25.99,1270,0.33,0.37,0.34
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5.07,64.01,4.12,1.62,0.65,20.53,3.06,96.62,2.23,1.23,52.11,19.59,6.46,12.54,25.47,27.29,1230,0.35,0.42,0.35
,,,,,,,,,,,,,,,,,,,
4.98,64.14,4.11,1.63,0.5,20.83,2.24,95.77,2.29,1.21,54.31,18.79,6.24,12.51,24.99,26.86,1290,0.36,0.41,0.34
,,,,,,,,,,,,,,,,,,,
5.04,64.33,4.1,1.65,0.46,21.15,1.96,94.7,2.31,1.23,53.4,20.39,6.42,12.48,25.31,27,1320,0.31,0.41,0.34
,,,,,,,,,,,,,,,,,,,
4.82,64.17,3.95,1.67,0.43,21.22,2.68,94.69,2.42,1.22,50.98,22.42,6.09,12.02,24.2,26.01,1270,0.38,0.41,0.34
,,,,,,,,,,,,,,,,,,,
