Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5.13,63.87,4.81,1.6,0.26,20.57,1.96,95.5,2.07,1.07,54.32,18.04,5.46,14.64,25.55,28.58,1500,0.33,0.31,0.36
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5.53,63.41,4.88,1.68,0.26,21.75,1.12,89.68,2.09,1.13,44.11,29.12,6.4,14.85,27.64,29.99,1420,0.37,0.33,0.37
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5.55,63.81,4.6,1.32,0.37,21.53,0.84,91.24,2.12,1.21,48.82,24.94,6.92,14,27.85,29.18,1510,0.53,0.33,0.35
,,,,,,,,,,,,,,,,,,,
5.45,63.38,4.91,1.62,0.3,21.09,1.12,92.14,2.04,1.11,49.5,23.16,6.13,14.94,27.21,29.8,1500,0.38,0.34,0.38
,,,,,,,,,,,,,,,,,,,
5.76,63.05,5.01,1.67,0.38,21.48,0.84,89.67,1.99,1.15,44.11,28.35,6.79,15.25,28.82,31.06,1500,0.38,0.35,0.38
,,,,,,,,,,,,,,,,,,,
5.67,63.3,4.95,1.65,0.31,21.46,2.04,90.29,2.02,1.15,41.08,30.57,6.65,15.06,28.36,30.58,1260,0.38,0.34,0.38
,,,,,,,,,,,,,,,,,,,
5.68,63.32,4.97,1.65,0.3,21.43,1.64,90.39,2.01,1.14,42.92,29.1,6.64,15.12,28.41,30.64,1410,0.38,0.33,0.38
,,,,,,,,,,,,,,,,,,,
5.59,63.3,4.91,1.66,0.38,21.46,2.24,90.44,2.04,1.14,40.86,30.74,6.51,14.94,27.95,30.33,1260,0.38,0.33,0.37
,,,,,,,,,,,,,,,,,,,
5.58,63.25,4.92,1.65,0.41,21.42,2.36,90.53,2.04,1.13,40.53,30.88,6.46,14.97,27.9,30.35,1200,0.38,0.33,0.37
,,,,,,,,,,,,,,,,,,,
5.63,63.18,4.97,1.65,0.37,21.44,1.46,90.23,2.02,1.13,43.35,28.81,6.51,15.12,28.14,30.56,1320,0.38,0.33,0.37
,,,,,,,,,,,,,,,,,,,
5.65,63.25,4.98,1.65,0.35,21.43,1.96,90.33,2.02,1.13,41.52,30.15,6.55,15.15,28.25,30.62,1280,0.38,0.34,0.38
,,,,,,,,,,,,,,,,,,,
5.94,63.19,5.22,1.6,0.31,21.09,2.24,90.83,1.89,1.14,40.43,30,6.91,15.88,29.7,31.92,1280,0.4,0.33,0.39
,,,,,,,,,,,,,,,,,,,
5.76,63.37,5.05,1.64,0.37,21.39,2.68,90.42,1.98,1.14,38.55,32.28,6.72,15.37,28.81,31.11,1180,0.39,0.35,0.38
,,,,,,,,,,,,,,,,,,,
5.74,63.24,5.04,1.64,0.38,21.41,1.12,90.2,1.99,1.14,44.36,27.95,6.68,15.34,28.7,31.04,1400,0.39,0.35,0.38
