Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
,,,,,,,,,,,,,,,,,,,
4.61,65.33,3.25,1.5,0.4,22.82,1.4,91.32,2.9,1.42,51.16,26.87,6.72,9.89,23.32,23.65,1300,0.36,0.41,0.32
,,,,,,,,,,,,,,,,,,,
4.58,65.43,3.25,1.5,0.38,22.79,1.82,91.61,2.91,1.41,50.29,27.44,6.64,9.89,23.17,23.54,1280,0.36,0.42,0.33
,,,,,,,,,,,,,,,,,,,
4.8,65.52,3.37,1.53,0.21,22.43,1.96,92.6,2.75,1.42,51.17,25.74,7.02,10.25,24.29,24.31,1270,0.31,0.39,0.33
,,,,,,,,,,,,,,,,,,,
4.52,65.62,3.25,1.48,0.34,22.63,2.1,92.55,2.91,1.39,51.54,26.04,6.48,9.89,22.85,23.3,1290,0.33,0.41,0.32
,,,,,,,,,,,,,,,,,,,
4.8,64.61,3.35,1.5,0.32,23.08,2.02,89.04,2.83,1.43,42.31,34.29,7.05,10.19,24.3,24.35,1270,0.38,0.44,0.33
,,,,,,,,,,,,,,,,,,,
4.81,64.78,3.36,1.51,0.35,22.97,2.13,89.63,2.81,1.43,43.31,33.22,7.06,10.22,24.35,24.44,1270,0.35,0.42,0.33
,,,,,,,,,,,,,,,,,,,
4.61,65.24,3.22,1.5,0.33,23.16,1.72,90.02,2.96,1.43,46.95,31.02,6.77,9.8,23.33,23.51,1300,0.32,0.4,0.32
,,,,,,,,,,,,,,,,,,,
4.7,65.15,3.24,1.51,0.27,23.11,1.5,89.92,2.91,1.45,47.23,30.67,6.97,9.86,23.81,23.77,1310,0.33,0.4,0.33
,,,,,,,,,,,,,,,,,,,
4.75,65.09,3.26,1.51,0.28,23.02,1.24,90.06,2.87,1.46,48.36,29.56,7.07,9.92,24.06,23.97,1300,0.34,0.41,0.33
,,,,,,,,,,,,,,,,,,,
4.71,66.37,3.3,1.51,0.32,22.06,1.62,95.41,2.75,1.43,59.54,18.38,6.9,10.04,23.84,23.98,1300,0.3,0.36,0.32
,,,,,,,,,,,,,,,,,,,
4.66,65.39,3.45,1.47,0.28,22.56,1.82,92.1,2.78,1.35,51.05,26.21,6.51,10.5,23.52,24.09,1270,0.32,0.39,0.32
4.51,65.16,3.51,1.46,0.41,22.68,2.24,91.52,2.83,1.28,48.42,28.54,6.01,10.68,22.71,23.9,1220,0.33,0.38,0.31
,,,,,,,,,,,,,,,,,,,
4.58,65.05,3.59,1.45,0.32,23.21,1.82,89.33,2.84,1.28,45.06,32.59,6.06,10.92,23.05,24.18,1250,0.27,0.37,0.32
,,,,,,,,,,,,,,,,,,,
4.46,65.06,3.57,1.44,0.33,23.23,1.52,89.47,2.89,1.25,47.01,31.18,5.78,10.86,22.42,23.78,1250,0.32,0.37,0.31
,,,,,,,,,,,,,,,,,,,
4.48,64.7,3.73,1.44,0.22,23.19,1.12,88.96,2.82,1.2,47.11,30.99,5.56,11.35,22.47,24.08,1260,0.35,0.38,0.31
,,,,,,,,,,,,,,,,,,,
4.48,64.58,3.77,1.42,0.23,23.25,1.24,88.55,2.82,1.19,45.62,32.28,5.49,11.47,22.46,24.16,1260,0.29,0.36,0.31
,,,,,,,,,,,,,,,,,,,
4.47,65.19,3.6,1.46,0.25,23.02,1.46,90.34,2.85,1.24,49.27,28.87,5.75,10.95,22.46,23.82,1300,0.36,0.39,0.32
,,,,,,,,,,,,,,,,,,,
4.26,64.77,3.58,1.39,0.25,22.1,1.36,93.44,2.82,1.19,56.4,20.86,5.23,10.89,21.36,23.08,1280,0.32,0.36,0.3
,,,,,,,,,,,,,,,,,,,
4.52,65.11,3.94,1.42,0.24,22.95,1.12,90.12,2.71,1.15,50.04,28.09,5.31,11.99,22.61,24.66,1320,0.29,0.39,0.32
,,,,,,,,,,,,,,,,,,,
4.26,65.83,3.74,1.43,0.4,22.25,2.47,94.25,2.78,1.14,54.83,22.47,4.96,11.38,21.3,23.63,1270,0.38,0.37,0.31
,,,,,,,,,,,,,,,,,,,
4.29,66.13,3.7,1.42,0.26,22.12,2.66,95.17,2.77,1.16,56.12,21.13,5.11,11.26,21.48,23.48,1270,0.35,0.36,0.31
,,,,,,,,,,,,,,,,,,,
4.45,65.46,3.42,1.44,0.18,23.22,1.26,90.19,2.95,1.3,50.05,28.85,6.01,10.41,22.42,23.27,1310,0.25,0.34,0.31
,,,,,,,,,,,,,,,,,,,
4.54,64.86,3.33,1.43,0.29,23.27,1.12,89.13,2.96,1.36,47.33,31.06,6.4,10.13,22.93,23.44,1210,0.34,0.39,0.31
4.49,65.66,3.33,1.44,0.17,23.28,1.18,90.27,2.98,1.35,50.6,28.62,6.26,10.13,22.66,23.18,1330,0.23,0.34,0.31
,,,,,,,,,,,,,,,,,,,
4.37,65.38,3.24,1.44,0.24,23,1.54,91.12,3.02,1.35,51.06,27.47,6.1,9.86,22.06,22.7,1220,0.38,0.38,0.3
,,,,,,,,,,,,,,,,,,,
4.43,66.22,3.5,1.43,0.19,22.16,2.04,95.09,2.79,1.27,58.05,19.78,5.82,10.65,22.29,23.39,1210,0.32,0.38,0.31
,,,,,,,,,,,,,,,,,,,
4.35,65.61,3.43,1.42,0.33,23.1,1.24,90.96,2.97,1.27,52.32,26.8,5.72,10.44,21.89,23.13,1310,0.25,0.33,0.31
,,,,,,,,,,,,,,,,,,,
4.43,65.45,3.51,1.43,0.17,23.11,1.76,90.52,2.91,1.26,48.82,29.47,5.8,10.68,22.28,23.39,1250,0.29,0.35,0.32
,,,,,,,,,,,,,,,,,,,
