Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
5.38,64.77,3.99,1.73,0.42,22.08,1.68,91.39,2.36,1.35,47.14,27.78,7.51,12.14,27.15,27.8,1300,0.31,0.34,0.35
,,,,,,,,,,,,,,,,,,,
5.31,65.63,3.93,1.7,0.26,21.57,1.48,94.67,2.33,1.35,55.89,19.72,7.42,11.96,26.8,27.27,1360,0.32,0.32,0.33
,,,,,,,,,,,,,,,,,,,
5.25,65.99,3.98,1.69,0.33,21.33,1.62,96.18,2.31,1.32,58.94,16.73,7.18,12.11,26.47,27.26,1380,0.32,0.33,0.33
,,,,,,,,,,,,,,,,,,,
5.17,65.3,3.93,1.73,0.29,21.88,1.48,93.26,2.4,1.32,53.13,22.69,7.05,11.96,26.06,26.92,1350,0.35,0.33,0.34
,,,,,,,,,,,,,,,,,,,
5.12,65.24,3.93,1.72,0.28,21.91,1.36,93.14,2.42,1.3,53.48,22.51,6.92,11.96,25.8,26.75,1350,0.34,0.32,0.34
,,,,,,,,,,,,,,,,,,,
5.11,64.94,3.97,1.71,0.29,22.1,1.68,91.99,2.43,1.29,49.52,26.04,6.82,12.08,25.73,26.81,1360,0.36,0.33,0.34
,,,,,,,,,,,,,,,,,,,
5.11,65.45,3.92,1.74,0.27,22.04,1.76,92.98,2.44,1.3,51.8,24.15,6.91,11.93,25.75,26.71,1320,0.39,0.33,0.34
,,,,,,,,,,,,,,,,,,,
4.98,65.57,3.85,1.73,0.29,22.09,1.52,93.23,2.5,1.29,53.86,22.75,6.68,11.72,25.08,26.18,1340,0.34,0.32,0.34
,,,,,,,,,,,,,,,,,,,
4.9,65.88,3.76,1.67,0.22,22.03,1.79,94.1,2.54,1.3,55.14,21.6,6.62,11.44,24.69,25.62,1330,0.28,0.29,0.33
,,,,,,,,,,,,,,,,,,,
5.04,65.18,3.81,1.66,0.33,21.81,1.96,93.66,2.46,1.32,52.26,23.15,6.91,11.59,25.41,26.24,1290,0.41,0.32,0.34
,,,,,,,,,,,,,,,,,,,
5.11,65.52,3.88,1.69,0.21,22.01,1.84,93.22,2.45,1.32,52.04,23.88,6.98,11.81,25.76,26.51,1310,0.37,0.31,0.35
5.07,64.96,3.96,1.68,0.52,21.98,1.4,92.53,2.43,1.28,51.94,23.88,6.74,12.05,25.52,26.87,1320,0.39,0.33,0.35
,,,,,,,,,,,,,,,,,,,
5.03,65.57,3.82,1.65,0.47,21.92,1.68,93.81,2.48,1.32,54.21,22,6.87,11.62,25.36,26.36,1310,0.4,0.34,0.34
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5.04,66.01,3.77,1.64,0.48,21.45,2.1,96.28,2.43,1.34,57.86,17.89,6.98,11.47,25.43,26.28,1320,0.4,0.34,0.33
,,,,,,,,,,,,,,,,,,,
4.99,65.37,3.86,1.64,0.39,21.43,2.24,95.43,2.42,1.29,55.05,19.95,6.69,11.75,25.13,26.24,1340,0.41,0.35,0.34
,,,,,,,,,,,,,,,,,,,
5.13,65.3,3.89,1.69,0.27,22.03,1.4,92.8,2.44,1.32,52.64,23.49,7.01,11.84,25.86,26.65,1330,0.36,0.32,0.36
,,,,,,,,,,,,,,,,,,,
5.14,65.66,3.84,1.68,0.21,21.98,1.65,93.52,2.45,1.34,53.47,22.72,7.12,11.69,25.93,26.5,1310,0.35,0.32,0.35
,,,,,,,,,,,,,,,,,,,
5.17,65.39,3.81,1.71,0.23,21.68,1.96,94.24,2.41,1.36,53.23,22.04,7.25,11.59,26.1,26.57,1260,0.46,0.33,0.35
,,,,,,,,,,,,,,,,,,,
5.04,64.91,3.81,1.68,0.44,22.11,1.84,92.16,2.5,1.32,49.37,26.19,6.91,11.59,25.41,26.37,1300,0.39,0.33,0.35
,,,,,,,,,,,,,,,,,,,
4.95,65.04,3.78,1.65,0.47,22.17,1.26,92.29,2.54,1.31,52.45,24.03,6.72,11.5,24.95,26.04,1320,0.44,0.33,0.35
,,,,,,,,,,,,,,,,,,,
5.05,65.58,3.87,1.67,0.25,22.13,1.46,92.97,2.48,1.3,53.34,23.25,6.83,11.78,25.45,26.33,1340,0.34,0.31,0.35
,,,,,,,,,,,,,,,,,,,
5.06,65.56,3.84,1.68,0.19,22.13,1.36,92.95,2.49,1.32,53.64,23.02,6.91,11.69,25.51,26.25,1370,0.33,0.3,0.35
5.05,65.29,3.85,1.69,0.31,22.21,1.52,92.28,2.5,1.31,51.34,24.99,6.87,11.72,25.45,26.37,1340,0.38,0.31,0.35
,,,,,,,,,,,,,,,,,,,
4.96,65.23,3.79,1.67,0.56,22.09,1.68,92.83,2.52,1.31,52.04,24.11,6.73,11.53,25,26.2,1310,0.45,0.34,0.35
,,,,,,,,,,,,,,,,,,,
5.03,65.77,3.78,1.62,0.36,21.69,2.4,95.01,2.46,1.33,53.89,21.57,6.93,11.5,25.37,26.13,1320,0.39,0.32,0.34
,,,,,,,,,,,,,,,,,,,
5.12,66.3,3.75,1.61,0.27,21.28,2.32,97.26,2.4,1.37,58.93,16.6,7.22,11.41,25.86,26.23,1330,0.37,0.31,0.33
,,,,,,,,,,,,,,,,,,,
5.17,65.81,3.83,1.64,0.18,21.64,2.13,94.98,2.4,1.35,54.53,20.95,7.22,11.65,26.09,26.5,1340,0.34,0.3,0.34
,,,,,,,,,,,,,,,,,,,
5.22,64.82,3.91,1.66,0.43,21.96,1.79,92.21,2.41,1.34,49,26.04,7.22,11.9,26.33,27.09,1340,0.44,0.35,0.35
,,,,,,,,,,,,,,,,,,,
5.12,65.38,3.88,1.67,0.17,21.99,1.62,93.08,2.44,1.32,52.45,23.52,7,11.81,25.81,26.48,1350,0.39,0.31,0.35
,,,,,,,,,,,,,,,,,,,
5.07,65.76,3.86,1.69,0.24,21.13,2.52,97.05,2.37,1.31,57.24,17.44,6.9,11.75,25.55,26.38,1290,0.46,0.32,0.34
,,,,,,,,,,,,,,,,,,,
5.05,65.23,3.79,1.68,0.25,21.84,1.86,93.62,2.47,1.33,52.61,22.97,6.97,11.53,25.47,26.17,1300,0.4,0.32,0.34
,,,,,,,,,,,,,,,,,,,
5.1,65.63,3.83,1.68,0.15,21.66,2.46,94.76,2.43,1.33,52.77,22.33,7.03,11.65,25.72,26.3,1290,0.39,0.31,0.35
,,,,,,,,,,,,,,,,,,,
5.02,66.46,3.81,1.67,0.41,20.51,3.64,100.81,2.32,1.32,60.65,13.09,6.86,11.59,25.31,26.27,1180,0.35,0.28,0.34
,,,,,,,,,,,,,,,,,,,
5.05,65.69,3.8,1.68,0.24,21.71,2.4,94.77,2.45,1.33,53.25,22.11,6.95,11.56,25.47,26.18,1250,0.37,0.31,0.35
5.12,65.42,3.88,1.68,0.24,21.99,1.26,93.14,2.44,1.32,54.08,22.29,7,11.81,25.81,26.56,1360,0.31,0.31,0.35
,,,,,,,,,,,,,,,,,,,
5.05,65.4,3.84,1.67,0.29,21.76,1.62,94.12,2.45,1.32,54.81,21.08,6.89,11.69,25.46,26.31,1290,0.34,0.31,0.35
,,,,,,,,,,,,,,,,,,,
5.11,66.35,3.75,1.64,0.25,21.47,2.68,96.6,2.42,1.36,56.29,19.13,7.2,11.41,25.8,26.21,1290,0.36,0.3,0.34
,,,,,,,,,,,,,,,,,,,
5.1,65.42,3.72,1.64,0.79,21.02,2.94,97.07,2.38,1.37,54.98,18.83,7.22,11.32,25.76,26.66,1210,0.47,0.34,0.33
,,,,,,,,,,,,,,,,,,,
5.2,65.61,3.9,1.7,0.37,21.68,2.24,94.43,2.38,1.33,52.66,22.47,7.18,11.87,26.23,26.99,1300,0.37,0.32,0.35
,,,,,,,,,,,,,,,,,,,
5.25,63.89,3.92,1.77,0.44,23.04,1.29,87.09,2.51,1.34,38.82,36.81,7.28,11.93,26.49,27.32,1380,0.37,0.33,0.37
,,,,,,,,,,,,,,,,,,,
5.12,64.03,3.87,1.75,0.29,22.88,1.23,88.05,2.55,1.32,41.79,34.11,7.02,11.78,25.82,26.66,1400,0.42,0.32,0.36
,,,,,,,,,,,,,,,,,,,
5.2,64.34,3.89,1.79,0.39,22.44,1.96,89.86,2.47,1.34,42.86,32.04,7.2,11.84,26.23,27.08,1240,0.41,0.34,0.36
5.47,65.21,3.92,1.71,0.51,21.91,1.84,92.55,2.33,1.4,49.07,25.84,7.86,11.93,27.65,27.98,1200,0.31,0.33,0.37
5.37,65.63,3.89,1.64,0.52,21.02,1.9,96.76,2.27,1.38,58.01,16.54,7.65,11.84,27.13,27.56,1400,0.41,0.37,0.34
,,,,,,,,,,,,,,,,,,,
5.29,66.4,3.86,1.63,0.43,20.95,2.02,98.35,2.29,1.37,61.77,13.51,7.49,11.75,26.72,27.16,1340,0.36,0.32,0.33
