Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
,,,,,,,,,,,,,,,,,,,
4.84,64.64,3.68,1.54,0.3,22.29,1.4,91.54,2.62,1.32,50.22,26.06,6.6,11.2,24.4,25.21,1350,0.34,0.33,0.34
,,,,,,,,,,,,,,,,,,,
4.89,64.65,3.67,1.54,0.34,21.69,1.82,93.72,2.53,1.33,52.79,22.4,6.75,11.17,24.67,25.38,1310,0.36,0.32,0.34
,,,,,,,,,,,,,,,,,,,
4.78,64.78,3.66,1.52,0.5,21.73,2.24,93.94,2.57,1.31,52.06,23.07,6.47,11.14,24.09,25.17,1340,0.38,0.34,0.34
,,,,,,,,,,,,,,,,,,,
4.79,64.57,3.68,1.56,0.42,21.96,2.13,92.74,2.59,1.3,49.81,25.42,6.47,11.2,24.13,25.21,1280,0.35,0.34,0.34
,,,,,,,,,,,,,,,,,,,
4.73,64.32,3.63,1.54,0.43,22.04,1.97,92.22,2.64,1.3,49.31,26.03,6.39,11.05,23.83,24.91,1310,0.35,0.32,0.34
,,,,,,,,,,,,,,,,,,,
4.77,64.15,3.6,1.55,0.48,22.19,1.9,91.39,2.65,1.33,47.54,27.8,6.55,10.95,24.05,25.02,1330,0.34,0.32,0.35
,,,,,,,,,,,,,,,,,,,
4.85,64.37,3.65,1.57,0.26,22.25,2.1,91.31,2.62,1.33,46.55,28.71,6.68,11.11,24.46,25.17,1280,0.36,0.33,0.35
,,,,,,,,,,,,,,,,,,,
4.8,64.38,3.65,1.56,0.23,22.2,2.52,91.59,2.63,1.32,45.6,29.29,6.54,11.11,24.2,24.98,1200,0.35,0.33,0.35
,,,,,,,,,,,,,,,,,,,
4.81,64.43,3.64,1.55,0.2,22.24,2.36,91.51,2.63,1.32,46.1,29.03,6.59,11.08,24.25,24.95,1240,0.35,0.32,0.35
,,,,,,,,,,,,,,,,,,,
5.02,62.97,3.7,1.49,0.35,21.71,1.84,90.97,2.49,1.36,44.81,28.48,7.04,11.26,25.34,25.79,1300,0.34,0.3,0.38
,,,,,,,,,,,,,,,,,,,
4.79,63.87,3.65,1.54,0.46,22.17,1.92,90.99,2.63,1.31,46.26,28.7,6.52,11.11,24.14,25.16,1290,0.36,0.36,0.35
4.87,64.16,3.63,1.54,0.5,22.26,2.04,90.97,2.62,1.34,45.76,29.34,6.76,11.05,24.57,25.39,1280,0.35,0.35,0.35
,,,,,,,,,,,,,,,,,,,
4.92,64.83,3.64,1.57,0.23,21.61,2.86,94.26,2.52,1.35,49.74,24.47,6.88,11.08,24.83,25.32,1220,0.35,0.33,0.34
,,,,,,,,,,,,,,,,,,,
4.96,64.77,3.64,1.53,0.46,22.13,2.34,92.16,2.57,1.36,47.39,27.73,6.99,11.08,25.05,25.63,1300,0.28,0.34,0.34
,,,,,,,,,,,,,,,,,,,
4.91,64.11,3.57,1.51,0.53,22.55,1.73,89.85,2.66,1.38,44.43,31.17,6.97,10.86,24.81,25.38,1320,0.36,0.35,0.34
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4.89,64.05,3.55,1.51,0.47,22.65,1.52,89.46,2.68,1.38,44.45,31.45,6.95,10.8,24.71,25.22,1360,0.36,0.35,0.35
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5.23,62.97,3.95,1.77,0.38,22.72,0.56,86.9,2.47,1.32,40.57,34.57,7.18,12.02,26.37,27.27,1380,0.37,0.39,0.37
,,,,,,,,,,,,,,,,,,,
5.24,63.61,3.94,1.8,0.37,22.25,1.68,89.4,2.42,1.33,42.14,32.04,7.22,11.99,26.43,27.3,1280,0.36,0.41,0.36
,,,,,,,,,,,,,,,,,,,
5.25,63.56,3.89,1.75,0.37,22.33,1.26,89.08,2.44,1.35,43.04,31.59,7.33,11.84,26.5,27.17,1350,0.35,0.4,0.37
5.18,64.63,3.84,1.69,0.41,21.42,1.68,94.09,2.37,1.35,53.14,21.36,7.23,11.69,26.14,26.83,1400,0.29,0.39,0.35
,,,,,,,,,,,,,,,,,,,
5.06,64.41,3.78,1.73,0.31,22.16,0.84,91.26,2.51,1.34,50.93,25.15,7.01,11.5,25.53,26.28,1480,0.33,0.38,0.36
,,,,,,,,,,,,,,,,,,,
4.95,63.8,3.8,1.76,0.54,21.87,1.26,91.61,2.5,1.3,49.66,25.28,6.69,11.56,24.94,26.26,1360,0.41,0.42,0.36
,,,,,,,,,,,,,,,,,,,
4.96,63.98,3.8,1.84,0.42,21.75,2.24,92.29,2.48,1.31,47.24,26.76,6.71,11.56,24.99,26.25,1260,0.37,0.42,0.37
,,,,,,,,,,,,,,,,,,,
5.05,64.07,3.83,1.85,0.23,22.03,1.68,91.22,2.48,1.32,47.11,27.66,6.9,11.65,25.46,26.4,1300,0.3,0.39,0.37
,,,,,,,,,,,,,,,,,,,
5.02,63.89,3.82,1.84,0.31,22.19,1.26,90.45,2.51,1.31,47.09,28.13,6.84,11.62,25.3,26.36,1340,0.32,0.38,0.36
,,,,,,,,,,,,,,,,,,,
4.99,64.05,3.8,1.85,0.35,22.03,1.96,91.31,2.51,1.31,46.34,28.24,6.79,11.56,25.15,26.28,1280,0.32,0.39,0.37
,,,,,,,,,,,,,,,,,,,
