Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
5.33,65.63,4.32,1.62,0.43,20.48,2.63,98.62,2.12,1.23,58.8,14.4,6.82,13.15,26.78,28.28,1270,0.29,0.36,0.35
5.29,65.69,4.3,1.65,0.41,20.47,3.61,98.84,2.13,1.23,55.43,16.92,6.74,13.08,26.57,28.13,1180,0.29,0.32,0.34
,,,,,,,,,,,,,,,,,,,
5.17,65.21,4.23,1.64,0.68,20.94,3.36,96.49,2.23,1.22,51.82,20.98,6.54,12.87,25.96,27.88,1240,0.34,0.36,0.35
,,,,,,,,,,,,,,,,,,,
5.14,65.03,4.19,1.68,0.49,21.36,2.52,94.66,2.29,1.23,51.58,22.37,6.53,12.75,25.81,27.55,1230,0.33,0.36,0.35
,,,,,,,,,,,,,,,,,,,
5.22,65.12,4.25,1.68,0.45,21.4,2.38,94.45,2.26,1.23,51.59,22.48,6.64,12.93,26.22,27.88,1270,0.33,0.36,0.35
,,,,,,,,,,,,,,,,,,,
5.12,64.56,4.24,1.72,0.81,21.2,2.29,94.58,2.26,1.21,51.88,21.68,6.39,12.9,25.69,27.96,1260,0.33,0.38,0.35
,,,,,,,,,,,,,,,,,,,
5.2,64.95,4.18,1.68,0.39,21,2.6,95.86,2.24,1.24,53.27,20.06,6.71,12.72,26.13,27.61,1170,0.39,0.34,0.34
,,,,,,,,,,,,,,,,,,,
5.22,65.32,4.22,1.67,0.35,21.52,2.4,94.31,2.28,1.24,51.45,22.93,6.69,12.84,26.23,27.7,1200,0.3,0.33,0.35
,,,,,,,,,,,,,,,,,,,
5.23,65.35,4.19,1.69,0.36,21.27,2.36,95.32,2.26,1.25,53.61,20.58,6.77,12.75,26.29,27.7,1230,0.32,0.33,0.35
,,,,,,,,,,,,,,,,,,,
5.14,65.49,4.19,1.67,0.42,21.21,2.52,95.91,2.27,1.23,54.59,19.67,6.53,12.75,25.81,27.47,1210,0.31,0.34,0.34
,,,,,,,,,,,,,,,,,,,
5.11,65.32,4.16,1.66,0.45,21.11,2.6,96.14,2.28,1.23,54.58,19.39,6.5,12.66,25.66,27.34,1200,0.31,0.34,0.35
,,,,,,,,,,,,,,,,,,,
5.12,65.2,4.19,1.65,0.43,21.15,2.63,95.76,2.27,1.22,53.55,20.28,6.48,12.75,25.71,27.4,1200,0.31,0.33,0.35
5.06,65.01,4.16,1.63,0.38,20.98,3.42,96.28,2.28,1.22,51.3,21.49,6.37,12.66,25.4,27.09,1180,0.3,0.32,0.35
,,,,,,,,,,,,,,,,,,,
5.17,65.18,4.17,1.63,0.36,21.74,2.4,93.4,2.33,1.24,49.61,24.94,6.64,12.69,25.98,27.42,1220,0.32,0.32,0.34
,,,,,,,,,,,,,,,,,,,
5.02,66.25,4.06,1.57,0.34,21.1,3.78,97.8,2.32,1.24,54.38,19.51,6.43,12.35,25.22,26.65,1210,0.27,0.3,0.33
,,,,,,,,,,,,,,,,,,,
5.14,65.98,4.17,1.59,0.29,21.09,3.8,97.13,2.27,1.23,52.31,21.04,6.57,12.69,25.82,27.22,1240,0.26,0.31,0.33
,,,,,,,,,,,,,,,,,,,
5.14,65.37,4.13,1.59,0.34,21.43,2.68,94.94,2.31,1.24,51.86,22.36,6.63,12.57,25.83,27.18,1170,0.31,0.31,0.33
,,,,,,,,,,,,,,,,,,,
5.26,65.1,4.22,1.61,0.25,22.14,1.14,91.63,2.34,1.25,50.7,25.27,6.8,12.84,26.44,27.66,1220,0.28,0.31,0.34
,,,,,,,,,,,,,,,,,,,
5.19,64.54,4.05,1.59,0.42,22.34,1.96,90.38,2.42,1.28,44.28,30.69,6.9,12.32,26.13,27.23,1230,0.38,0.33,0.33
,,,,,,,,,,,,,,,,,,,
5.14,64.65,4.05,1.58,0.42,22.5,1.9,90.04,2.45,1.27,44.09,31.29,6.77,12.32,25.86,27.07,1240,0.33,0.32,0.33
,,,,,,,,,,,,,,,,,,,
5.02,64.52,4.02,1.56,0.38,22.12,1.79,91.42,2.45,1.25,47.74,27.44,6.5,12.23,25.24,26.59,1260,0.37,0.32,0.33
,,,,,,,,,,,,,,,,,,,
5.15,65.67,4.09,1.55,0.35,21.5,2.52,95.12,2.33,1.26,53.19,21.55,6.73,12.45,25.9,27.09,1250,0.31,0.3,0.32
,,,,,,,,,,,,,,,,,,,
5.02,65.59,4.01,1.55,0.43,21.51,3.58,95.25,2.38,1.25,49.47,24.39,6.52,12.2,25.24,26.61,1220,0.33,0.31,0.32
,,,,,,,,,,,,,,,,,,,
5.04,65.42,4.09,1.55,0.26,22.09,1.24,92.72,2.42,1.23,53.64,22.91,6.44,12.45,25.32,26.68,1320,0.24,0.28,0.33
5.04,65.19,4.08,1.56,0.37,22.19,1.96,92.03,2.43,1.24,49.03,26.67,6.45,12.42,25.32,26.77,1270,0.32,0.31,0.33
,,,,,,,,,,,,,,,,,,,
5.04,64.95,4.05,1.57,0.27,22.36,1.68,91.11,2.46,1.24,47.94,27.98,6.5,12.32,25.33,26.62,1300,0.32,0.29,0.32
,,,,,,,,,,,,,,,,,,,
5,64.8,3.97,1.56,0.47,22.45,2.01,90.7,2.5,1.26,45.69,29.94,6.53,12.08,25.15,26.51,1280,0.33,0.32,0.32
,,,,,,,,,,,,,,,,,,,
4.92,64.86,3.93,1.53,0.38,22.22,1.9,91.77,2.51,1.25,48.72,26.99,6.39,11.96,24.74,26.07,1290,0.3,0.29,0.32
,,,,,,,,,,,,,,,,,,,
5.03,65.11,3.98,1.56,0.33,22.44,1.79,91.12,2.49,1.26,47.7,28.39,6.6,12.11,25.3,26.48,1270,0.32,0.3,0.33
,,,,,,,,,,,,,,,,,,,
4.95,64.9,3.9,1.55,0.45,22.03,2.4,92.5,2.49,1.27,48.13,26.89,6.52,11.87,24.91,26.18,1200,0.34,0.31,0.31
,,,,,,,,,,,,,,,,,,,
5.06,66.17,4,1.52,0.32,21.36,3.22,96.63,2.36,1.27,54.18,20.41,6.64,12.17,25.45,26.57,1240,0.26,0.27,0.31
,,,,,,,,,,,,,,,,,,,
5.2,65.99,4.05,1.53,0.36,21.2,2.4,96.71,2.29,1.28,56.99,17.83,6.93,12.32,26.18,27.14,1270,0.28,0.28,0.31
,,,,,,,,,,,,,,,,,,,
