Al2O3,CaO,Fe2O3,MgO,SO3,SiO2,F.CaO,LSF,SM,A/F,C3S,C2S,C3A,C4AF,2C3A+C4AF,LIQUID %,LT.WT Gm/Ltr,K2O,Na2O,TiO2
,,,,,,,,,,,,,,,,,,,
4.57,65.61,3.74,1.31,0.37,22.37,2.52,93.12,2.69,1.22,50.73,25.9,5.78,11.38,22.95,24.39,1300,0.3,0.23,0.31
,,,,,,,,,,,,,,,,,,,
4.65,65.68,3.75,1.31,0.67,21.86,2.8,95.01,2.6,1.24,53.2,22.58,5.98,11.41,23.37,24.95,1310,0.38,0.29,0.31
,,,,,,,,,,,,,,,,,,,
4.71,67.27,3.67,1.31,0.37,22.06,3.08,96.5,2.63,1.28,56.73,20.5,6.27,11.17,23.71,24.65,1360,0.37,0.25,0.31
,,,,,,,,,,,,,,,,,,,
4.67,67.31,3.76,1.28,0.42,22.09,2.94,96.42,2.62,1.24,57.37,20.1,6.01,11.44,23.47,24.75,1340,0.33,0.24,0.31
,,,,,,,,,,,,,,,,,,,
4.53,65.01,3.63,1.27,0.95,22.87,1.26,90.62,2.8,1.25,50.05,27.86,5.86,11.05,22.77,24.57,1280,0.49,0.3,0.3
,,,,,,,,,,,,,,,,,,,
4.57,65.47,3.7,1.31,0.46,23.15,1.18,90.16,2.8,1.24,49.75,28.89,5.85,11.26,22.96,24.39,1350,0.46,0.25,0.32
,,,,,,,,,,,,,,,,,,,
4.56,65.64,3.42,1.26,0.37,23.4,1.26,89.77,2.93,1.33,48.68,30.41,6.3,10.41,23,23.61,1310,0.3,0.25,0.3
,,,,,,,,,,,,,,,,,,,
4.56,64.96,3.66,1.31,0.52,23.29,1.18,89.02,2.83,1.25,46.73,31.56,5.89,11.14,22.92,24.33,1300,0.44,0.27,0.31
,,,,,,,,,,,,,,,,,,,
4.61,65.12,3.71,1.32,0.45,23.25,1.64,89.27,2.79,1.24,45.41,32.45,5.94,11.29,23.17,24.53,1320,0.36,0.25,0.32
,,,,,,,,,,,,,,,,,,,
4.48,64.95,3.71,1.28,0.44,22.8,1.86,90.79,2.78,1.21,48.11,29.11,5.59,11.29,22.48,24.1,1290,0.36,0.24,0.31
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
4.61,65.33,3.67,1.28,0.25,23.23,1.4,89.65,2.81,1.26,47.45,30.85,6.01,11.17,23.18,24.2,1310,0.38,0.25,0.31
4.63,64.84,3.73,1.27,0.2,22.66,1.52,90.89,2.71,1.24,49.08,27.99,5.96,11.35,23.27,24.33,1300,0.4,0.28,0.32
,,,,,,,,,,,,,,,,,,,
4.53,64.94,3.67,1.24,0.26,22.57,1.68,91.56,2.75,1.23,50.27,26.82,5.79,11.17,22.76,23.94,1280,0.38,0.25,0.32
4.96,65.42,3.89,1.31,0.26,23.08,1.18,89.61,2.61,1.28,47.18,30.62,6.56,11.84,24.96,25.76,1470,0.18,0.22,0.34
,,,,,,,,,,,,,,,,,,,
4.76,65.05,3.85,1.27,0.5,22.71,1.4,90.72,2.64,1.24,48.99,28.19,6.1,11.72,23.92,25.28,1250,0.39,0.29,0.31
,,,,,,,,,,,,,,,,,,,
4.78,65.57,3.79,1.27,0.27,22.96,1.54,90.58,2.68,1.26,48.59,29.21,6.25,11.53,24.04,24.98,1280,0.28,0.26,0.32
,,,,,,,,,,,,,,,,,,,
4.73,65.05,3.71,1.28,0.23,23.32,1.26,88.76,2.76,1.27,45.33,32.7,6.26,11.29,23.8,24.63,1250,0.39,0.26,0.31
,,,,,,,,,,,,,,,,,,,
4.55,64.85,3.75,1.25,0.2,22.52,1.4,91.52,2.71,1.21,51.18,26,5.71,11.41,22.84,24.12,1270,0.4,0.27,0.31
,,,,,,,,,,,,,,,,,,,
4.7,65.38,3.75,1.25,0.31,23.66,1.01,88.08,2.8,1.25,45.25,33.74,6.11,11.41,23.63,24.68,1420,0.25,0.24,0.31
,,,,,,,,,,,,,,,,,,,
4.75,65.25,3.92,1.25,0.35,22.5,1.51,91.7,2.6,1.21,50.92,26.13,5.95,11.93,23.84,25.24,1400,0.19,0.22,0.32
4.68,65.16,3.91,1.24,0.31,22.15,2.24,92.97,2.58,1.2,50.73,25.27,5.79,11.9,23.47,24.96,1440,0.19,0.22,0.32
,,,,,,,,,,,,,,,,,,,
4.6,64.89,3.9,1.22,0.35,21.85,2.66,93.85,2.57,1.18,50.75,24.4,5.59,11.87,23.05,24.72,1480,0.19,0.22,0.32
,,,,,,,,,,,,,,,,,,,
4.58,64.97,3.9,1.22,0.35,21.78,2.24,94.26,2.57,1.17,53.46,22.16,5.54,11.87,22.94,24.66,1300,0.19,0.22,0.32
,,,,,,,,,,,,,,,,,,,
4.73,64.85,3.58,1.31,0.33,23.2,1.84,89,2.79,1.32,43.25,33.93,6.48,10.89,23.85,24.47,1260,0.34,0.27,0.31
